feature,corr_with_popularity
loudness,0.3386875883221559
acousticness,-0.29627834569371814
weeks on chart,0.2086663439449973
duration,0.20599388138409766
valence,-0.1990894981701397
speechiness,0.18527037877798527
danceability,0.1787006223017626
energy,0.16742144454758748
instrumentalness,-0.12605789011808685
liveness,-0.0769149198027122
tempo,0.0013852682481191214
