index,weekid,week position,song,performer,genre,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,year,decade
104873,1958-08-09,12,If Dreams Came True,Pat Boone,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",162306.0,False,0.31,0.122,3.0,-16.23,1.0,0.0344,0.878,0.000182,0.122,0.342,83.152,21.0,1958,1950
105093,1958-08-09,24,Early In The Morning,The Rinky-Dinks,[],134920.0,False,0.6089999999999999,0.6089999999999999,5.0,-13.835,1.0,0.0297,0.7189999999999999,0.0,0.1479999999999999,0.959,108.965,20.0,1958,1950
105177,1958-08-09,29,Enchanted Island,The Four Lads,"['adult standards', 'deep adult standards', 'vocal harmony group']",181653.0,False,0.3459999999999999,0.552,2.0,-8.499,1.0,0.0344,0.681,0.0,0.334,0.371,84.64799999999998,3.0,1958,1950
33723,1958-08-09,45,Blue Boy,Jim Reeves,"['adult standards', 'nashville sound', 'rock-and-roll']",129333.0,False,0.6129999999999999,0.372,0.0,-13.051,1.0,0.0299,0.785,0.00154,0.115,0.697,98.549,24.0,1958,1950
166973,1958-08-16,3,My True Love,Jack Scott,"['brill building pop', 'deep adult standards', 'rock-and-roll', 'rockabilly']",165026.0,False,0.548,0.253,4.0,-11.387,1.0,0.0279,0.871,9.9e-05,0.138,0.2379999999999999,68.184,26.0,1958,1950
141570,1958-08-23,1,Little Star,The Elegants,"['doo-wop', 'rhythm and blues']",162773.0,False,0.4079999999999999,0.397,9.0,-12.536,1.0,0.03,0.873,0.0,0.28,0.697,72.61499999999998,40.0,1958,1950
141740,1958-08-23,8,Fever,Peggy Lee,"['adult standards', 'brill building pop', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz']",202506.0,False,0.794,0.0715,7.0,-21.305,1.0,0.131,0.388,0.0,0.111,0.333,68.331,59.0,1958,1950
141946,1958-08-23,14,Everybody Loves A Lover,Doris Day,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']",160466.0,False,0.8339999999999999,0.2839999999999999,3.0,-13.497,1.0,0.1019999999999999,0.657,2e-06,0.0676,0.684,92.224,33.0,1958,1950
143150,1958-08-23,32,Early In The Morning,Buddy Holly,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly']",125920.0,False,0.7089999999999999,0.698,0.0,-9.249,1.0,0.105,0.385,0.0,0.0555,0.963,110.721,30.0,1958,1950
135138,1958-08-23,37,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",149200.0,False,0.4269999999999999,0.6169999999999999,2.0,-13.57,1.0,0.0475,0.217,0.0,0.151,0.926,165.836,10.0,1958,1950
135585,1958-08-23,41,Over And Over,Bobby Day,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",143320.0,False,0.638,0.55,0.0,-13.077,1.0,0.115,0.697,0.0,0.0938,0.559,80.233,29.0,1958,1950
113571,1958-08-30,10,Are You Really Mine,Jimmie Rodgers,"['appalachian folk', 'country rock', 'folk', 'old-time', 'traditional country', 'traditional folk', 'yodeling']",148533.0,False,0.7,0.195,1.0,-16.657,1.0,0.0322,0.749,0.0,0.0472,0.5799999999999998,101.858,32.0,1958,1950
146297,1958-08-30,15,Volare (Nel Blu Dipinto Di Blu),Dean Martin,"['adult standards', 'easy listening', 'lounge']",142000.0,False,0.4089999999999999,0.406,7.0,-10.826,1.0,0.0663,0.823,0.0,0.496,0.551,147.585,32.0,1958,1950
44282,1958-08-30,45,The Wizard,Jimmie Rodgers,"['appalachian folk', 'country rock', 'folk', 'old-time', 'traditional country', 'traditional folk', 'yodeling']",142933.0,False,0.699,0.5959999999999999,3.0,-10.72,0.0,0.0335,0.624,0.0,0.3519999999999999,0.906,118.888,8.0,1958,1950
179719,1958-09-06,4,Just A Dream,Jimmy Clanton And His Rockets,[],152973.0,False,0.61,0.326,7.0,-12.266,1.0,0.0505,0.687,0.182,0.135,0.4149999999999999,125.822,0.0,1958,1950
180046,1958-09-06,9,Ginger Bread,Frankie Avalon,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll']",123653.0,False,0.546,0.623,8.0,-12.136,1.0,0.0352,0.461,4.3e-05,0.195,0.976,147.226,16.0,1958,1950
164518,1958-09-06,41,Come Closer To Me (Acercate Mas),Nat King Cole,['adult standards'],168826.0,False,0.548,0.256,3.0,-14.527,1.0,0.0374,0.823,1.4e-05,0.101,0.548,100.806,33.0,1958,1950
121330,1958-09-13,2,Bird Dog,The Everly Brothers,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",136426.0,False,0.658,0.7059999999999998,11.0,-9.076,1.0,0.0354,0.686,2e-06,0.166,0.965,141.194,39.0,1958,1950
121806,1958-09-13,7,Born Too Late,Poni-Tails,"['brill building pop', 'classic girl group', 'deep adult standards', 'doo-wop', 'vocal harmony group']",137325.0,False,0.501,0.516,4.0,-3.652,1.0,0.0256,0.511,0.0505,0.0859999999999999,0.87,84.98399999999998,27.0,1958,1950
130714,1958-09-13,8,Western Movies,The Olympics,"['doo-wop', 'rhythm and blues']",140504.0,False,0.668,0.457,7.0,-7.138,1.0,0.0637,0.4929999999999999,0.0147,0.117,0.691,120.494,24.0,1958,1950
250592,1958-09-13,20,Down The Aisle Of Love,The Quin-Tones,['classic girl group'],169882.0,False,0.395,0.2869999999999999,6.0,-13.724,1.0,0.0273,0.764,0.00979,0.567,0.4269999999999999,95.21,13.0,1958,1950
115526,1958-09-13,34,Dance Everyone Dance,Betty Madigan,[],144493.0,False,0.752,0.6129999999999999,5.0,-9.223,1.0,0.039,0.2079999999999999,0.0,0.4089999999999999,0.922,130.679,7.0,1958,1950
155062,1958-09-20,10,Devoted To You,The Everly Brothers,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",141040.0,False,0.5869999999999999,0.34,3.0,-9.387,1.0,0.0256,0.8339999999999999,0.0,0.0955,0.526,90.523,48.0,1958,1950
181065,1958-09-20,21,Lazy Summer Night,The Four Preps,"['deep adult standards', 'vocal harmony group']",135026.0,False,0.374,0.201,7.0,-16.257,1.0,0.0309,0.133,0.0,0.13,0.36,65.643,10.0,1958,1950
80291,1958-09-20,26,"Summertime, Summertime",The Jamies,[],118413.0,False,0.656,0.563,5.0,-6.844,1.0,0.0652,0.625,0.0,0.0521,0.966,204.346,18.0,1958,1950
18283,1958-09-20,44,The Green Mosquito,The Tune Rockers,[],142080.0,False,0.639,0.8469999999999999,4.0,-12.559,1.0,0.0356,0.885,0.947,0.939,0.907,130.273,0.0,1958,1950
136665,1958-09-20,50,Blue Ribbon Baby,Tommy Sands And The Raiders,[],106466.0,False,0.672,0.511,8.0,-10.022,1.0,0.041,0.77,0.0,0.265,0.968,94.88,2.0,1958,1950
56741,1958-09-27,8,Summertime Blues,Eddie Cochran,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly']",119360.0,False,0.7149999999999999,0.882,11.0,-8.61,0.0,0.0593,0.123,0.107,0.1749999999999999,0.957,156.571,62.0,1958,1950
