index,weekid,week position,song,performer,weeks on chart,genre,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity,year,decade
964,1958-08-02,2,Patricia,Perez Prado And His Orchestra,1,"['mambo', 'space age pop']",140000.0,False,0.699,0.7149999999999999,1.0,-5.976,1.0,0.0391,0.18,0.4149999999999999,0.0704,0.81,137.373,4.0,27.0,1958,1950
980,1958-08-02,3,Splish Splash,Bobby Darin,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'motown', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']",131719.0,False,0.645,0.943,0.0,-1.526,1.0,0.0393,0.385,0.0,0.37,0.965,147.768,4.0,60.0,1958,1950
150199,1958-08-02,5,When,Kalin Twins,1,"['doo-wop', 'rock-and-roll']",144573.0,False,0.646,0.5819999999999999,6.0,-12.679,1.0,0.0297,0.168,5e-06,0.976,0.963,96.49,4.0,20.0,1958,1950
292513,1958-08-02,7,Yakety Yak,The Coasters,1,"['brill building pop', 'bubblegum pop', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",113040.0,False,0.7149999999999999,0.669,7.0,-9.491,1.0,0.128,0.7049999999999998,0.000732,0.044,0.976,120.789,4.0,56.0,1958,1950
7501,1958-08-02,15,For Your Precious Love,Jerry Butler and The Impressions,1,"['funk', 'motown', 'soul']",251613.0,False,0.3649999999999999,0.438,2.0,-16.317,1.0,0.309,0.659,0.000672,0.8469999999999999,0.506,75.55,3.0,15.0,1958,1950
2304,1958-08-02,16,One Summer Night,The Danleers,1,['doo-wop'],133178.0,False,0.4209999999999999,0.3559999999999999,9.0,-6.889,1.0,0.0286,0.883,0.0,0.2879999999999999,0.514,98.393,3.0,42.0,1958,1950
7533,1958-08-02,17,Endless Sleep,Jody Reynolds,1,[],143693.0,False,0.5869999999999999,0.184,4.0,-10.737,1.0,0.0444,0.8289999999999998,1.7e-05,0.116,0.529,111.195,4.0,28.0,1958,1950
2365,1958-08-02,20,Do You Want To Dance,Bobby Freeman,1,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",165693.0,False,0.625,0.438,0.0,-12.003,1.0,0.0501,0.519,3.7e-05,0.155,0.957,155.537,4.0,27.0,1958,1950
2394,1958-08-02,22,A Certain Smile,Johnny Mathis,1,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold', 'vocal jazz']",168293.0,False,0.233,0.337,5.0,-10.031,1.0,0.0307,0.8539999999999999,2e-06,0.274,0.218,73.57599999999998,4.0,39.0,1958,1950
67690,1958-08-02,24,The Purple People Eater,Sheb Wooley,1,"['comic', 'novelty']",137960.0,False,0.643,0.6169999999999999,9.0,-5.006,1.0,0.0801,0.823,0.0,0.33,0.881,157.748,4.0,45.0,1958,1950
